1278694160162	1	5	10
1278694160162	1	4	-16
1278694160162	1	3	330
1278694160162	1	2	10
1278694160162	1	1	-16
1278694160162	1	0	0
1278694160254	2	5	-9.42528
1278694160254	2	4	-2.72407
1278694160254	2	3	1.64806
1278694160254	2	2	-9.42528
1278694160254	2	1	-2.72407
1278694160254	2	0	1.64806
1278694160423	1	5	8
1278694160423	1	4	-14
1278694160423	1	3	330
1278694160423	1	2	8
1278694160423	1	1	-14
1278694160423	1	0	360
1278694160636	2	5	-9.46614
1278694160636	2	4	-2.36994
1278694160636	2	3	1.41652
1278694160636	2	2	-9.46614
1278694160636	2	1	-2.36994
1278694160636	2	0	1.41652
1278694160877	1	5	14
1278694160877	1	4	-21
1278694160877	1	3	338
1278694160877	1	2	14
1278694160877	1	1	-21
1278694160877	1	0	360
1278694161029	2	5	-8.30841
1278694161029	2	4	-3.25526
1278694161029	2	3	2.15201
1278694161029	2	2	-8.30841
1278694161029	2	1	-3.25526
1278694161029	2	0	2.15201
1278694161175	1	5	20
1278694161175	1	4	-12
1278694161175	1	3	344
1278694161175	1	2	20
1278694161175	1	1	-12
1278694161175	1	0	360
1278694161377	2	5	-10.0382
1278694161377	2	4	-2.22012
1278694161377	2	3	3.82732
1278694161377	2	2	-10.0382
1278694161377	2	1	-2.22012
1278694161377	2	0	3.82732
1278694161553	1	5	21
1278694161553	1	4	-1
1278694161553	1	3	335
1278694161553	1	2	21
1278694161553	1	1	-1
1278694161553	1	0	360
1278694161641	2	5	-10.0382
1278694161641	2	4	-0.108963
1278694161641	2	3	3.75922
1278694161641	2	2	-10.0382
1278694161641	2	1	-0.108963
1278694161641	2	0	3.75922
1278694161742	1	5	14
1278694161742	1	4	-4
1278694161742	1	3	326
1278694161742	1	2	14
1278694161742	1	1	-4
1278694161742	1	0	360
1278694161868	2	5	-9.46614
1278694161868	2	4	-0.762739
1278694161868	2	3	2.4108
1278694161868	2	2	-9.46614
1278694161868	2	1	-0.762739
1278694161868	2	0	2.4108
1278694162046	1	5	0
1278694162046	1	4	8
1278694162046	1	3	309
1278694162046	1	2	0
1278694162046	1	1	8
1278694162046	1	0	360
1278694162170	2	5	-10.8418
1278694162170	2	4	1.6072
1278694162170	2	3	0
1278694162170	2	2	-10.8418
1278694162170	2	1	1.6072
1278694162170	2	0	0
1278694162319	1	5	6
1278694162319	1	4	11
1278694162319	1	3	305
1278694162319	1	2	6
1278694162319	1	1	11
1278694162319	1	0	360
1278694162509	2	5	-9.49338
1278694162509	2	4	1.79789
1278694162509	2	3	0.953424
1278694162509	2	2	-9.49338
1278694162509	2	1	1.79789
1278694162509	2	0	0.953424
1278694162674	1	5	7
1278694162674	1	4	4
1278694162674	1	3	313
1278694162674	1	2	7
1278694162674	1	1	4
1278694162674	1	0	360
1278694162862	2	5	-9.91561
1278694162862	2	4	0.694638
1278694162862	2	3	1.18497
1278694162862	2	2	-9.91561
1278694162862	2	1	0.694638
1278694162862	2	0	1.18497
1278694163049	1	5	5
1278694163049	1	4	6
1278694163049	1	3	314
1278694163049	1	2	5
1278694163049	1	1	6
1278694163049	1	0	360
1278694163152	2	5	-8.85323
1278694163152	2	4	0.912563
1278694163152	2	3	0.762739
1278694163152	2	2	-8.85323
1278694163152	2	1	0.912563
1278694163152	2	0	0.762739
1278694163255	1	5	-2
1278694163255	1	4	1
1278694163255	1	3	313
1278694163255	1	2	-2
1278694163255	1	1	1
1278694163255	1	0	360
1278694163432	2	5	-9.38442
1278694163432	2	4	0.149824
1278694163432	2	3	-0.38137
1278694163432	2	2	-9.38442
1278694163432	2	1	0.149824
1278694163432	2	0	-0.38137
1278694163585	1	5	-1
1278694163585	1	4	5
1278694163585	1	3	306
1278694163585	1	2	-1
1278694163585	1	1	5
1278694163585	1	0	326.242
1278694163733	2	5	-14.71
